"NO","시군구","번지","도로조건","계약면적(㎡)","전월세구분","계약년월","계약일","보증금(만원)","월세금(만원)","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"150","서울특별시 광진구 화양동","4**","8m미만","20.31","월세","202604","27","12,000","5","1994","광나루로26길","202605~202805","신규","-","","","단독다가구"
"151","서울특별시 중랑구 중화동","3**","8m미만","16.50","월세","202604","27","3,000","40","2019","동일로","202604~202804","신규","-","","","단독다가구"
"152","서울특별시 성북구 안암동5가","1*","8m미만","25.00","월세","202604","27","1,000","62","1997","고려대로27길","202606~202707","신규","-","","","단독다가구"
"153","서울특별시 중랑구 면목동","4**","8m미만","20.00","월세","202604","27","10,000","4","2007","면목로44길","202605~202805","갱신","-","10,000","2","단독다가구"
"154","서울특별시 중랑구 면목동","1**","8m미만","30.00","월세","202604","27","100","34","1993","봉우재로20가길","202604~202804","신규","-","","","단독다가구"
"155","서울특별시 중랑구 면목동","6**","8m미만","55.20","월세","202604","27","3,000","65","2005","면목로42길","202606~202806","신규","-","","","단독다가구"
"156","서울특별시 성북구 동선동3가","3*","12m미만","107.97","월세","202604","27","25,000","79","1989","동소문로26라길","202606~202806","신규","-","","","단독다가구"
"157","서울특별시 동대문구 회기동","1**","8m미만","25.00","월세","202604","27","300","45","1993","회기로12나길","202604~202704","신규","-","","","단독다가구"
"158","서울특별시 중랑구 망우동","3**","8m미만","47.82","월세","202604","27","5,000","50","1994","망우로67가길","202605~202805","신규","-","","","단독다가구"
"159","서울특별시 동대문구 답십리동","2**","25m미만","42.16","전세","202604","27","15,000","0","1973","답십리로45길","202606~202806","신규","-","","","단독다가구"
"160","서울특별시 성북구 상월곡동","2*","8m미만","28.13","전세","202604","27","20,000","0","2019","장월로2길","202605~202805","신규","-","","","단독다가구"
"161","서울특별시 중랑구 중화동","3**","8m미만","33.00","월세","202604","27","10,000","40","2016","중랑역로21길","202605~202805","갱신","-","17,000","0","단독다가구"
"162","서울특별시 도봉구 도봉동","6**","8m미만","26.00","월세","202604","27","200","20","1992","도봉로156길","202604~202804","신규","-","","","단독다가구"
"163","서울특별시 도봉구 창동","2**","12m미만","90.84","전세","202604","27","20,000","0","1985","노해로63가길","202606~202806","신규","-","","","단독다가구"
"164","서울특별시 은평구 갈현동","4**","8m미만","32.58","월세","202604","27","8,000","30","1989","통일로85길","202605~202805","신규","-","","","단독다가구"
"165","서울특별시 은평구 갈현동","2**","8m미만","36.00","월세","202604","27","5,500","20","1994","갈현로27길","202606~202806","-","-","","","단독다가구"
"166","서울특별시 은평구 갈현동","4**","8m미만","73.89","월세","202604","27","600","40","1984","갈현로31길","202606~202806","신규","-","","","단독다가구"
"167","서울특별시 강북구 수유동","1**","8m미만","21.00","월세","202604","27","500","45","1975","한천로139가길","202604~202704","신규","-","","","단독다가구"
"168","서울특별시 마포구 신수동","3*","8m미만","41.37","월세","202604","27","500","55","1991","독막로","202604~202804","신규","-","","","단독다가구"
"169","서울특별시 강북구 미아동","3**","8m미만","25.50","월세","202604","27","2,000","55","1969","도봉로45길","202605~202805","신규","-","","","단독다가구"
"170","서울특별시 서대문구 북가좌동","3**","8m미만","60.00","월세","202604","27","2,000","95","2004","증가로29길","202607~202807","갱신","-","2,000","85","단독다가구"
"171","서울특별시 서대문구 북가좌동","2**","8m미만","71.79","월세","202604","27","12,000","20","2000","증가로28길","202604~202804","갱신","-","11,000","20","단독다가구"
"172","서울특별시 강북구 번동","4**","8m미만","51.34","월세","202604","27","1,000","60","1994","덕릉로","202604~202804","신규","-","","","단독다가구"
"173","서울특별시 마포구 공덕동","1**","8m미만","29.75","전세","202604","27","14,000","0","","만리재옛6길","202605~202805","신규","-","","","단독다가구"
"174","서울특별시 은평구 대조동","1**","8m미만","39.00","월세","202604","27","1,000","55","1991","통일로73길","202605~202805","신규","-","","","단독다가구"
"175","서울특별시 서대문구 연희동","4**","8m미만","62.25","전세","202604","27","60,000","0","1970","연희로11마길","202606~202806","신규","-","","","단독다가구"
"176","서울특별시 강북구 번동","4**","8m미만","34.34","전세","202604","27","10,000","0","1990","한천로","202604~202804","갱신","-","9,000","0","단독다가구"
"177","서울특별시 도봉구 방학동","6**","8m미만","199.60","월세","202604","27","400","32","1993","도당로","202605~202805","신규","-","","","단독다가구"
