시군구,번지,건물명,전월세구분,전용면적(㎡),보증금(만원),월세금(만원),도로명,주택유형
서울특별시 용산구 청파동1가,104-1,(104-1),전세,35.5,"16,000",0,청파로57길 12-3,연립다세대
서울특별시 용산구 청파동1가,1-154,1-154,전세,26.91,"30,000",0,청파로73길 19-10,연립다세대
서울특별시 중랑구 상봉동,87-36,브라운힐,전세,24.48,"20,500",0,봉우재로41길 16-7,연립다세대
서울특별시 용산구 갈월동,7-171,준하우스,전세,103.5,"45,000",0,한강대로96길 22,연립다세대
서울특별시 성북구 동선동5가,117-5,동선동빌라,월세,44.01,"2,000",81,동소문로29길 77,연립다세대
서울특별시 동대문구 휘경동,294-136,동부체리빌,월세,44.88,"18,000",45,망우로14가길 20,연립다세대
서울특별시 광진구 자양동,651-31,대원빌13차,전세,27.49,"21,000",0,뚝섬로52가길 48,연립다세대
서울특별시 광진구 자양동,611-18,건국다세대,전세,38.19,"20,000",0,자양번영로8길 9-4,연립다세대
서울특별시 광진구 자양동,664-11,(664-11),전세,31.51,"12,500",0,뚝섬로58가길 13,연립다세대
서울특별시 중구 신당동,413-2,(413-2),월세,29.98,"20,000",10,동호로20다길 28,연립다세대
서울특별시 중랑구 면목동,1270-3,양지하이츠빌라B,전세,55.95,"25,000",0,면목로84가길 9,연립다세대
서울특별시 종로구 연지동,193-1,주함해븐타워(2동),월세,17.14,60,36,종로31길 46-38,연립다세대
서울특별시 동대문구 전농동,127-38,현대캐슬(127-38),전세,29.88,"26,500",0,서울시립대로23길 18,연립다세대
서울특별시 중랑구 면목동,592-2,베아트리스,월세,26.33,"20,000",15,사가정로43길 32,연립다세대
서울특별시 강남구 일원동,739,청솔빌리지,전세,59.75,"70,000",0,광평로10길 50,연립다세대
서울특별시 강남구 일원동,739,청솔빌리지,전세,59.75,"70,000",0,광평로10길 50,연립다세대
서울특별시 강남구 역삼동,792-79,블루밍,전세,25.96,"19,800",0,논현로67길 28,연립다세대
